Title,tech_stack
.NET Developer,.NET;.NET Core;.NET Core basics;.NET Core fundamentals;.NET Framework;.NET Framework basics;ASP.NET;ASP.NET Core;ASP.NET MVC;ASP.NET basics;Angular;Azure;Azure DevOps;Blazor;C#;CI/CD;CSS;Dapper;Design Patterns;Docker;Entity Framework;Entity Framework basics;F#;Git;HTML;JavaScript basics;Kubernetes;LINQ;MVC;Microservices;Moq;NUnit;NUnit basics;NoSQL;REST APIs;Razor;SOLID;SOLID Principles;SQL Server;SignalR;Testing with NUnit;Testing with xUnit;Unit Testing;Unit Testing basics;VB.NET;VB.NET basics;Visual Studio;WebAPI;gRPC;xUnit
AI Engineer,AI;AWS;Apache Spark;Azure;C++;CI/CD;Classification;Cloud;Clustering;Computer Vision;Deep Learning;Docker;Entry-Level;Fresher;GCP;Generative AI;Hadoop;Hugging Face;Hugging Face Transformers;Java;Keras;Kubernetes;LIME;LLMs;ML;MLOps;Mid-Senior Level;Model Monitoring;MongoDB;NLP;NLTK;Neural Networks;NoSQL;NumPy;ONNX;OpenCV;Pandas;PyTorch;Python;R;Regression;Reinforcement Learning;SHAP;SQL;Scikit-learn;Senior-Level;Spark;Supervised/Unsupervised Learning;TensorFlow
AI Prompt Engineer,"AI Ethics;AI Frameworks;AI Model Optimization;API Integration;API integration (OpenAI/Azure);Advanced NLP;Advanced Python;Advanced prompt design (chain-of-thought, iterative optimization);Azure Cognitive Services;Chain-of-thought prompting;Chain-of-thought prompts;Collaboration;Communication;Creativity;Critical thinking;Data Analysis;Data analysis;Data analytics;Data visualization;Deep NLP expertise;GPT;GPT model exposure;GPT models intro;Hugging Face;Hugging Face Transformers;Hugging Face Transformers basics;Hugging Face basics;Intro NLP;Intro to NLP;Introductory NLP;Iterative prompt design;Iterative prompt optimization;JavaScript;JavaScript advanced;JavaScript basics;LLM;LLM tuning;Leadership;Machine Learning;Machine learning analysis;Machine learning for prompt tuning;Model Fine-tuning;NLP;NLP basics;NLP frameworks;NLP introduction;NLP techniques;NLTK basics;OpenAI API;OpenAI GPT basics;OpenAI GPT intro;OpenAI GPT model basics;OpenAI GPT models exposure;OpenAI GPT models intro;Problem-solving;Prompt Engineering;Prompt Optimization;Prompt chain-of-thought;Prompt design optimization;Prompt iterative optimization;Prompt optimization techniques;Prompt writing;Prompt writing fundamentals;PyTorch;PyTorch basics;Python;Python advanced;Python basics;SpaCy basics;Teamwork;TensorFlow;TensorFlow basics"
AR/VR Developer,"3D Graphics;3D Modeling;3D modeling and animation expert;3D modeling and graphics;3D modeling basics;3D modeling fundamentals;3D modeling/animation advanced;3D modeling/animation expert;ARCore;ARCore advanced;ARCore basics;ARKit;ARKit advanced;ARKit basics;ARKit, ARCore, Vuforia;Advanced 3D graphics;Advanced 3D modeling and animation;Advanced 3D modeling/animation;Blender basics;Blender/Maya basics;C#;C# advanced;C# basics;C++ advanced;C++ basics;C++, C# advanced;C++, C# expert;Collaboration;Communication;Creativity;Cross-Platform;Cross-platform deployment;Cross-platform development;Cross-platform optimization;Gesture and motion tracking;Gesture/motion tracking;Hardware integration;JavaScript;JavaScript advanced;JavaScript basics;Leadership;Machine Learning;Machine learning basics;Maya basics;Motion Tracking;Motion tracking basics;Performance Optimization;Performance optimization;Performance tuning;Problem-solving;Project coordination;Project management;Python basics;Spatial Computing;Spatial computing;Spatial computing basics;Team collaboration;Team management;Teamwork;UI/UX advanced;UI/UX design advanced;UI/UX design expert;UI/UX expert;UI/UX fundamentals;Unity;Unity advanced;Unity basics;Unity, Unreal Engine advanced;Unity, Unreal Engine expert;Unreal Engine;Unreal Engine advanced;Unreal Engine basics;Vuforia"
Android App Developer,Android SDK;Android Studio;Git;Java;Kotlin;MVC;Material Design;REST API;REST APIs;SQLite;UI/UX Basics;UI/UX Design
Android Architect,Agile;Android NDK;Android Studio;CI/CD;Clean Architecture;Dagger;Debugging;Dependency Injection;Firebase;Java;Jetpack;Kotlin;MVVM;Material Design;Performance Optimization;Play Store;REST API;Room;Unit Testing
Android Developer,Agile;Android NDK;Android SDK;Android Studio;CI/CD;Debugging;Dependency Injection;Firebase;Git;Java;Jetpack;Kotlin;MVC;MVVM;Material Design;Mobile Development;Performance Optimization;Play Store;REST API;REST APIs;Room;SQLite;UI/UX Basics;UI/UX Design;Unit Testing;XML
Android Development,Android Studio;Git;Java;Kotlin;Material Design;REST API;SQLite;UI/UX Basics;UI/UX Design;XML
Android Solutions Architect,Agile;Android NDK;Android Studio;CI/CD;Clean Architecture;Dagger;Debugging;Dependency Injection;Firebase;Java;Jetpack;Kotlin;MVVM;Material Design;Performance Optimization;Play Store;REST API;Room;Unit Testing
Android Solutions Engineer,Agile;Android NDK;Android Studio;CI/CD;Clean Architecture;Debugging;Dependency Injection;Firebase;Java;Jetpack;Kotlin;MVVM;Material Design;Performance Optimization;Play Store;REST API;REST APIs;Room;Unit Testing
